id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,match_date,home_name,home_code,home_group,home_placeholder,away_name,away_code,away_group,away_placeholder,city_name,country,stadium,home_rank,home_points,away_rank,away_points,rank_diff,points_diff,has_teams,is_mexico
1,1,1,2,15,1,2026-06-11T21:00:00Z,Group A,2026-06-11,Mexico,MEX,A,FALSE,South Africa,RSA,A,FALSE,Mexico City,Mexico,Estadio Azteca,16,1675.75,60,1432.76,-44,242.99,TRUE,TRUE
2,2,3,4,14,1,2026-06-12T04:00:00Z,Group A,2026-06-12,South Korea,KOR,A,FALSE,Winner UEFA Playoff D,UEPD,A,TRUE,Guadalajara,Mexico,Estadio Akron,22,1599.45,,,-28,199.45000000000005,FALSE,TRUE
3,3,5,6,12,1,2026-06-12T19:00:00Z,Group B,2026-06-12,Canada,CAN,B,FALSE,Winner UEFA Playoff A,UEPA,B,TRUE,Toronto,Canada,BMO Field,29,1559.15,,,-21,159.1500000000001,FALSE,FALSE
4,4,13,14,6,1,2026-06-13T04:00:00Z,Group D,2026-06-13,USA,USA,D,FALSE,Paraguay,PAR,D,FALSE,Los Angeles,USA,SoFi Stadium,15,1681.88,40,1501.5,-25,180.3800000000001,TRUE,FALSE
5,5,7,8,10,1,2026-06-13T22:00:00Z,Group B,2026-06-13,Qatar,QAT,B,FALSE,Switzerland,SUI,B,FALSE,San Francisco Bay Area,USA,Levi's Stadium,56,1454.96,18,1654.69,38,-199.73000000000002,TRUE,FALSE
6,6,9,10,8,1,2026-06-13T22:00:00Z,Group C,2026-06-13,Brazil,BRA,C,FALSE,Morocco,MAR,C,FALSE,New York/New Jersey,USA,MetLife Stadium,5,1760.46,8,1736.57,-3,23.8900000000001,TRUE,FALSE
7,7,11,12,2,1,2026-06-14T01:00:00Z,Group C,2026-06-14,Haiti,HAI,C,FALSE,Scotland,SCO,C,FALSE,Boston,USA,Gillette Stadium,83,1294.49,38,1506.77,45,-212.27999999999997,TRUE,FALSE
8,8,15,16,13,1,2026-06-14T07:00:00Z,Group D,2026-06-14,Australia,AUS,D,FALSE,Winner UEFA Playoff C,UEPC,D,TRUE,Vancouver,Canada,BC Place,27,1574.01,,,-23,174.01,FALSE,FALSE
9,9,17,18,4,1,2026-06-14T18:00:00Z,Group E,2026-06-14,Germany,GER,E,FALSE,Curaçao,CUR,E,FALSE,Houston,USA,NRG Stadium,10,1724.15,81,1302.7,-71,421.45000000000005,TRUE,FALSE
10,10,21,22,3,1,2026-06-14T21:00:00Z,Group F,2026-06-14,Netherlands,NED,F,FALSE,Japan,JPN,F,FALSE,Dallas,USA,AT&T Stadium,7,1756.27,19,1650.12,-12,106.15000000000009,TRUE,FALSE
11,11,19,20,9,1,2026-06-14T23:00:00Z,Group E,2026-06-14,Côte d'Ivoire,CIV,E,FALSE,Ecuador,ECU,E,FALSE,Philadelphia,USA,Lincoln Financial Field,37,1522.48,23,1591.73,14,-69.25,TRUE,FALSE
12,12,23,24,16,1,2026-06-15T04:00:00Z,Group F,2026-06-15,Winner UEFA Playoff B,UEPB,F,TRUE,Tunisia,TUN,F,FALSE,Monterrey,Mexico,Estadio BBVA,,,47,1479.04,3,-79.03999999999996,FALSE,TRUE
13,13,29,30,1,1,2026-06-15T16:00:00Z,Group H,2026-06-15,Spain,ESP,H,FALSE,Cabo Verde,CPV,H,FALSE,Atlanta,USA,Mercedes-Benz Stadium,1,1877.18,67,1370.49,-66,506.69000000000005,TRUE,FALSE
14,14,25,26,11,1,2026-06-15T22:00:00Z,Group G,2026-06-15,Belgium,BEL,G,FALSE,Egypt,EGY,G,FALSE,Seattle,USA,Lumen Field,9,1730.71,31,1556.71,-22,174,TRUE,FALSE
15,15,31,32,7,1,2026-06-15T22:00:00Z,Group H,2026-06-15,Saudi Arabia,KSA,H,FALSE,Uruguay,URU,H,FALSE,Miami,USA,Hard Rock Stadium,61,1429.48,17,1672.62,44,-243.13999999999987,TRUE,FALSE
16,16,27,28,6,1,2026-06-16T04:00:00Z,Group G,2026-06-16,IR Iran,IRN,G,FALSE,New Zealand,NZL,G,FALSE,Los Angeles,USA,SoFi Stadium,20,1617.02,85,1279.25,-65,337.77,TRUE,FALSE
17,17,33,34,8,1,2026-06-16T19:00:00Z,Group I,2026-06-16,France,FRA,I,FALSE,Senegal,SEN,I,FALSE,New York/New Jersey,USA,MetLife Stadium,3,1870,12,1706.83,-9,163.17000000000007,TRUE,FALSE
18,18,35,36,2,1,2026-06-16T22:00:00Z,Group I,2026-06-16,Winner FIFA Playoff 2,FP02,I,TRUE,Norway,NOR,I,FALSE,Boston,USA,Gillette Stadium,,,32,1553.14,18,-153.1400000000001,FALSE,FALSE
19,19,37,38,5,1,2026-06-17T02:00:00Z,Group J,2026-06-17,Argentina,ARG,J,FALSE,Algeria,ALG,J,FALSE,Kansas City,USA,Arrowhead Stadium,2,1873.33,28,1560.91,-26,312.41999999999985,TRUE,FALSE
20,20,39,40,10,1,2026-06-17T07:00:00Z,Group J,2026-06-17,Austria,AUT,J,FALSE,Jordan,JOR,J,FALSE,San Francisco Bay Area,USA,Levi's Stadium,24,1585.51,64,1388.93,-40,196.57999999999993,TRUE,FALSE
21,21,41,42,4,1,2026-06-17T18:00:00Z,Group K,2026-06-17,Portugal,POR,K,FALSE,Winner FIFA Playoff 1,FP01,K,TRUE,Houston,USA,NRG Stadium,6,1760.38,,,-44,360.3800000000001,FALSE,FALSE
22,22,45,46,3,1,2026-06-17T21:00:00Z,Group L,2026-06-17,England,ENG,L,FALSE,Croatia,CRO,L,FALSE,Dallas,USA,AT&T Stadium,4,1834.12,11,1716.88,-7,117.23999999999978,TRUE,FALSE
23,23,47,48,12,1,2026-06-17T23:00:00Z,Group L,2026-06-17,Ghana,GHA,L,FALSE,Panama,PAN,L,FALSE,Toronto,Canada,BMO Field,72,1351.09,33,1539.47,39,-188.3800000000001,TRUE,FALSE
24,24,43,44,15,1,2026-06-18T04:00:00Z,Group K,2026-06-18,Uzbekistan,UZB,K,FALSE,Colombia,COL,K,FALSE,Mexico City,Mexico,Estadio Azteca,52,1462.03,14,1701.3,38,-239.26999999999998,TRUE,TRUE
25,25,4,2,1,1,2026-06-18T16:00:00Z,Group A,2026-06-18,Winner UEFA Playoff D,UEPD,A,TRUE,South Africa,RSA,A,FALSE,Atlanta,USA,Mercedes-Benz Stadium,,,60,1432.76,-10,-32.75999999999999,FALSE,FALSE
26,26,8,6,6,1,2026-06-18T22:00:00Z,Group B,2026-06-18,Switzerland,SUI,B,FALSE,Winner UEFA Playoff A,UEPA,B,TRUE,Los Angeles,USA,SoFi Stadium,18,1654.69,,,-32,254.69000000000005,FALSE,FALSE
27,27,5,7,13,1,2026-06-19T01:00:00Z,Group B,2026-06-19,Canada,CAN,B,FALSE,Qatar,QAT,B,FALSE,Vancouver,Canada,BC Place,29,1559.15,56,1454.96,-27,104.19000000000005,TRUE,FALSE
28,28,1,3,14,1,2026-06-19T03:00:00Z,Group A,2026-06-19,Mexico,MEX,A,FALSE,South Korea,KOR,A,FALSE,Guadalajara,Mexico,Estadio Akron,16,1675.75,22,1599.45,-6,76.29999999999995,TRUE,TRUE
29,29,13,15,11,1,2026-06-19T22:00:00Z,Group D,2026-06-19,USA,USA,D,FALSE,Australia,AUS,D,FALSE,Seattle,USA,Lumen Field,15,1681.88,27,1574.01,-12,107.87000000000012,TRUE,FALSE
30,30,12,10,2,1,2026-06-19T22:00:00Z,Group C,2026-06-19,Scotland,SCO,C,FALSE,Morocco,MAR,C,FALSE,Boston,USA,Gillette Stadium,38,1506.77,8,1736.57,30,-229.79999999999995,TRUE,FALSE
31,31,9,11,9,1,2026-06-20T01:00:00Z,Group C,2026-06-20,Brazil,BRA,C,FALSE,Haiti,HAI,C,FALSE,Philadelphia,USA,Lincoln Financial Field,5,1760.46,83,1294.49,-78,465.97,TRUE,FALSE
32,32,16,14,10,1,2026-06-20T07:00:00Z,Group D,2026-06-20,Winner UEFA Playoff C,UEPC,D,TRUE,Paraguay,PAR,D,FALSE,San Francisco Bay Area,USA,Levi's Stadium,,,40,1501.5,10,-101.5,FALSE,FALSE
33,33,21,23,4,1,2026-06-20T18:00:00Z,Group F,2026-06-20,Netherlands,NED,F,FALSE,Winner UEFA Playoff B,UEPB,F,TRUE,Houston,USA,NRG Stadium,7,1756.27,,,-43,356.27,FALSE,FALSE
