team,n_final,prob_final
Spain,1111,11.11
Argentina,1080,10.8
France,1054,10.54
England,912,9.12
Brazil,811,8.11
Morocco,765,7.65
Germany,759,7.59
Netherlands,753,7.53
Mexico,739,7.39
Belgium,736,7.36
Portugal,720,7.2
Switzerland,633,6.33
USA,617,6.17
Croatia,609,6.09
Uruguay,556,5.56
Colombia,549,5.49
Japan,514,5.14
Senegal,514,5.14
IR Iran,480,4.8
South Korea,454,4.54
Ecuador,413,4.13
Australia,405,4.05
Canada,400,4
Austria,369,3.69
Egypt,368,3.68
Algeria,323,3.23
Côte d'Ivoire,315,3.15
Paraguay,295,2.95
Panama,291,2.91
Norway,281,2.81
Scotland,279,2.79
Qatar,266,2.66
Tunisia,252,2.52
South Africa,231,2.31
Saudi Arabia,221,2.21
Uzbekistan,197,1.97
Jordan,152,1.52
Cabo Verde,139,1.39
Curaçao,119,1.19
Haiti,117,1.17
Ghana,108,1.08
New Zealand,93,0.93
