team,partidos_totales,victorias_totales,record_victorias_consec
Brazil,114,79,11
France,73,41,8
Italy,83,46,7
Argentina,88,53,6
Croatia,30,17,6
England,74,33,6
Netherlands,55,31,6
Spain,67,32,6
Belgium,51,22,5
Germany,112,72,5
Poland,38,17,5
Portugal,35,18,5
Uruguay,59,26,5
Bulgaria,26,4,4
Colombia,22,9,4
Hungary,32,15,4
Morocco,23,6,4
Soviet Union,31,15,4
Austria,29,12,3
Chile,33,11,3
Czechoslovakia,30,11,3
Denmark,23,9,3
Ecuador,13,5,3
South Korea,38,8,3
Sweden,51,20,3
Turkey,10,5,3
Ukraine,5,3,3
Yugoslavia,37,16,3
Australia,20,4,2
Cameroon,26,5,2
Costa Rica,21,7,2
Ghana,15,5,2
Ivory Coast,9,3,2
Japan,25,7,2
Mexico,60,17,2
Nigeria,21,6,2
Peru,18,5,2
Romania,21,8,2
Russia,14,5,2
Saudi Arabia,19,4,2
Scotland,23,4,2
Senegal,12,5,2
Switzerland,41,14,2
United States,37,9,2
Algeria,13,3,1
Bosnia and Herzegovina,3,1,1
Cuba,3,1,1
Czech Republic,3,1,1
East Germany,6,2,1
Greece,10,2,1
Iran,18,3,1
Jamaica,3,1,1
North Korea,7,1,1
Northern Ireland,13,3,1
Norway,8,2,1
Paraguay,27,8,1
Republic of Ireland,13,3,1
Serbia,9,2,1
Slovakia,4,1,1
Slovenia,6,1,1
South Africa,9,2,1
Tunisia,18,3,1
Wales,8,1,1
Angola,3,0,0
Bolivia,6,0,0
Canada,6,0,0
China,3,0,0
Dutch East Indies,1,0,0
Egypt,7,0,0
El Salvador,6,0,0
Haiti,3,0,0
Honduras,9,0,0
Iceland,3,0,0
Iraq,3,0,0
Israel,3,0,0
Kuwait,3,0,0
New Zealand,6,0,0
Panama,3,0,0
Qatar,3,0,0
Serbia and Montenegro,3,0,0
Togo,3,0,0
Trinidad and Tobago,3,0,0
United Arab Emirates,3,0,0
Zaire,3,0,0
