RK,Team,Total Points,Previous Points,+/-
1,Spain,1877.18,1877.18,-
2,Argentina,1873.33,1873.33,-
3,France,1870,1870,-
4,England,1834.12,1834.12,-
5,Brazil,1760.46,1760.46,-
6,Portugal,1760.38,1760.38,-
7,Netherlands,1756.27,1756.27,-
8,Morocco,1736.57,1716.34,20.23
9,Belgium,1730.71,1730.71,-
10,Germany,1724.15,1724.15,-
11,Croatia,1716.88,1716.88,-
12,Senegal,1706.83,1648.07,58.76
13,Italy,1702.06,1702.06,-
14,Colombia,1701.3,1701.3,-
15,USA,1681.88,1681.88,-
16,Mexico,1675.75,1675.75,-
17,Uruguay,1672.62,1672.62,-
18,Switzerland,1654.69,1654.69,-
19,Japan,1650.12,1650.12,-
20,IR Iran,1617.02,1617.02,-
21,Denmark,1616.75,1616.75,-
22,Korea Republic,1599.45,1599.45,-
23,Ecuador,1591.73,1591.73,-
24,Austria,1585.51,1585.51,-
25,Türkiye,1582.69,1582.69,-
26,Nigeria,1581.55,1502.46,79.09
27,Australia,1574.01,1574.01,-
28,Algeria,1560.91,1517.68,43.23
29,Canada,1559.15,1559.15,-
30,Ukraine,1557.47,1557.47,-
31,Egypt,1556.71,1515.18,41.53
32,Norway,1553.14,1553.14,-
33,Panama,1539.47,1540.43,-0.96
34,Poland,1532.04,1532.04,-
35,Wales,1529.71,1529.71,-
36,Russia,1524.52,1524.52,-
37,Côte d'Ivoire,1522.48,1489.59,32.89
38,Scotland,1506.77,1506.77,-
39,Serbia,1506.34,1506.34,-
40,Paraguay,1501.5,1501.5,-
41,Hungary,1496.29,1496.29,-
42,Sweden,1487.13,1487.13,-
43,Czechia,1487,1487,-
44,Slovakia,1485.65,1485.65,-
45,Cameroon,1482.39,1440.43,41.96
46,Greece,1480.38,1480.38,-
47,Tunisia,1479.04,1494.86,-15.82
48,Congo DR,1468.22,1444.16,24.06
49,Romania,1465.78,1465.78,-
50,Venezuela,1465.22,1465.22,-
51,Costa Rica,1464.24,1464.24,-
52,Uzbekistan,1462.03,1462.03,-
53,Peru,1459.57,1459.57,-
54,Mali,1458.48,1455.03,3.45
55,Chile,1457.84,1457.84,-
56,Qatar,1454.96,1454.96,-
57,Slovenia,1447.31,1447.31,-
58,Iraq,1436.94,1436.94,-
59,Republic of Ireland,1436.04,1436.04,-
60,South Africa,1432.76,1426.73,6.03
61,Saudi Arabia,1429.48,1429.48,-
62,Burkina Faso,1412.79,1404.81,7.98
63,Albania,1401.07,1401.07,-
64,Jordan,1388.93,1388.93,-
65,Honduras,1379.54,1379.54,-
66,North Macedonia,1378.57,1378.57,-
67,Cabo Verde,1370.49,1370.49,-
68,United Arab Emirates,1370.47,1370.47,-
69,Northern Ireland,1366.02,1366.02,-
70,Jamaica,1362.46,1362.46,-
71,Bosnia and Herzegovina,1362.37,1362.37,-
72,Ghana,1351.09,1351.09,-
73,Georgia,1347.88,1347.88,-
74,Iceland,1344.72,1344.72,-
75,Finland,1341.81,1341.81,-
76,Bolivia,1330.52,1329.56,0.96
77,Israel,1328.14,1328.14,-
78,Oman,1313.46,1313.46,-
79,Kosovo,1308.84,1308.84,-
80,Guinea,1307.05,1307.05,-
81,Curaçao,1302.7,1302.7,-
82,Montenegro,1297.09,1297.09,-
83,Haiti,1294.49,1294.49,-
84,Syria,1282.62,1282.62,-
85,New Zealand,1279.25,1279.25,-
86,Gabon,1276.28,1321.25,-44.97
87,Bulgaria,1272.19,1272.19,-
88,Uganda,1264.09,1288.01,-23.92
89,Angola,1263.1,1271.54,-8.44
90,Bahrain,1258.53,1258.53,-
91,Zambia,1256.68,1258.4,-1.72
92,Benin,1250.05,1255.72,-5.67
93,China PR,1249.06,1249.06,-
94,Guatemala,1245.77,1245.77,-
95,Palestine,1244.73,1244.73,-
96,Thailand,1243.27,1243.27,-
97,Trinidad and Tobago,1227.32,1227.32,-
